                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.82899,                 1.2844,                 1.2848,                0.46956,                0.50718,                0.47072,                0.33091,                 1.2408,                 1.7507,                 1.7429,             0.00050406,             0.00050406,             0.00050406
                     90,                0.87252,                 1.3371,                 1.3018,                0.45854,                0.47389,                0.42775,                0.29788,                 1.2107,                 1.8158,                 1.7222,             0.00050102,             0.00050102,             0.00050102
                     91,                0.80509,                 1.2533,                 1.2592,                0.59062,                0.42204,                0.47535,                0.33645,                 1.2899,                 1.7956,                 1.8237,             0.00049797,             0.00049797,             0.00049797
                     92,                0.83955,                 1.2875,                 1.2945,                0.41211,                0.50333,                0.45422,                0.31101,                 1.2085,                 1.8367,                  1.731,             0.00049493,             0.00049493,             0.00049493
                     93,                0.82495,                  1.293,                 1.2966,                0.43112,                 0.5205,                0.46277,                 0.3358,                 1.1929,                 1.8047,                 1.7058,             0.00049188,             0.00049188,             0.00049188
                     94,                0.80789,                 1.2776,                 1.2824,                0.52382,                0.40674,                0.42969,                0.29509,                 1.1457,                  1.858,                 1.6753,             0.00048884,             0.00048884,             0.00048884
                     95,                 0.8281,                 1.2806,                 1.2873,                0.61918,                0.41539,                 0.4852,                 0.3345,                 1.2639,                 1.7728,                 1.8025,             0.00048579,             0.00048579,             0.00048579
                     96,                0.82933,                 1.2609,                 1.3024,                0.50378,                0.51164,                0.47732,                0.33196,                 1.1948,                 1.8088,                 1.7505,             0.00048275,             0.00048275,             0.00048275
                     97,                0.82657,                 1.2553,                 1.2777,                0.62881,                0.43125,                0.48805,                0.34492,                 1.2748,                 1.8465,                 1.7894,              0.0004797,              0.0004797,              0.0004797
                     98,                0.82877,                 1.2416,                 1.2855,                0.43757,                0.50668,                0.45642,                0.31146,                 1.2438,                 1.9205,                 1.7809,             0.00047666,             0.00047666,             0.00047666
                     99,                  0.831,                 1.2388,                 1.2759,                0.58194,                0.41211,                0.45415,                 0.3142,                  1.341,                 1.9352,                  1.887,             0.00047361,             0.00047361,             0.00047361
                    100,                0.80466,                 1.1751,                 1.2725,                0.56812,                0.44237,                 0.4816,                0.34791,                   1.18,                 1.8417,                 1.7006,             0.00047057,             0.00047057,             0.00047057
                    101,                0.81654,                 1.2238,                 1.2793,                0.53238,                 0.4603,                0.48717,                0.35066,                 1.2043,                 1.7702,                 1.7092,             0.00046752,             0.00046752,             0.00046752
                    102,                0.78056,                 1.2091,                 1.2505,                0.67744,                0.44869,                0.51883,                0.37037,                 1.1698,                 1.7891,                 1.6901,             0.00046448,             0.00046448,             0.00046448
                    103,                0.81672,                 1.1966,                 1.2771,                0.55418,                0.45505,                0.47064,                0.33345,                  1.189,                 1.8123,                 1.6865,             0.00046143,             0.00046143,             0.00046143
                    104,                0.80275,                 1.1681,                 1.2681,                0.58142,                0.47944,                0.50977,                0.36362,                 1.2031,                 1.7938,                 1.7106,             0.00045839,             0.00045839,             0.00045839
                    105,                 0.8137,                 1.2071,                 1.2664,                0.54807,                0.51576,                0.51401,                0.37232,                 1.1368,                 1.7523,                 1.6396,             0.00045534,             0.00045534,             0.00045534
                    106,                0.79325,                 1.1583,                 1.2674,                0.60304,                0.42488,                0.48365,                0.33744,                 1.2091,                 1.7939,                 1.7362,              0.0004523,              0.0004523,              0.0004523
                    107,                0.80691,                 1.1614,                 1.2664,                  0.635,                0.42969,                0.50061,                0.36297,                 1.2228,                 1.6829,                 1.7232,             0.00044925,             0.00044925,             0.00044925
                    108,                0.79185,                 1.1321,                 1.2377,                0.57106,                0.52693,                0.52169,                0.37861,                 1.2131,                  1.602,                  1.723,              0.0004462,              0.0004462,              0.0004462
                    109,                0.77901,                 1.1574,                 1.2446,                 0.5945,                0.42658,                0.50494,                0.36278,                 1.2534,                 1.7142,                 1.7993,             0.00044316,             0.00044316,             0.00044316
                    110,                 0.7743,                 1.1109,                 1.2325,                0.49841,                 0.4854,                0.49738,                0.34388,                 1.2373,                 1.7643,                 1.7932,             0.00044011,             0.00044011,             0.00044011
                    111,                0.74286,                 1.0644,                 1.2134,                 0.6097,                0.45374,                0.50314,                0.35868,                 1.1883,                 1.7011,                 1.7102,             0.00043707,             0.00043707,             0.00043707
                    112,                0.76749,                 1.0984,                 1.2321,                0.62065,                0.47003,                0.52565,                 0.3732,                 1.2358,                 1.6217,                  1.788,             0.00043402,             0.00043402,             0.00043402
                    113,                0.78147,                 1.1206,                  1.246,                0.55462,                0.47473,                0.50597,                0.35605,                 1.1883,                 1.7111,                 1.6873,             0.00043098,             0.00043098,             0.00043098
                    114,                0.76325,                  1.137,                 1.2494,                0.59695,                0.46908,                0.48944,                0.34178,                 1.2434,                 1.6842,                 1.7403,             0.00042793,             0.00042793,             0.00042793
                    115,                0.77176,                 1.0807,                 1.2202,                 0.6032,                0.45565,                0.48226,                0.33938,                 1.2289,                 1.7034,                 1.7129,             0.00042489,             0.00042489,             0.00042489
                    116,                  0.744,                 1.0684,                 1.2144,                0.54889,                0.48944,                0.48091,                0.34617,                 1.1916,                  1.697,                 1.7406,             0.00042184,             0.00042184,             0.00042184
                    117,                0.74203,                 1.0874,                 1.2373,                0.44423,                 0.5306,                0.49849,                0.35692,                 1.2115,                 1.7455,                 1.7402,              0.0004188,              0.0004188,              0.0004188
                    118,                0.75014,                 1.1142,                   1.23,                0.60923,                0.47771,                0.52683,                0.37249,                 1.1693,                 1.6707,                 1.7153,             0.00041575,             0.00041575,             0.00041575
